

        0         0     60560         0         0         0     90810         0     37042     62622         0     74655     99030     49754         0         0         0    100251      4134     59970         0         0         0         0         0         0         0         0         0         0     62801     11493     38573     23101         0         0     26829    111288         0     71460         0         0         0         0     44614         0         0         0         0    119454    171753         0         0         0     70926         0    116052     33752     79825         0         0 
        0         0    116081         0         0    104974         0      6879    167994         0         0     80709     38260    176402     13771    129580    116998    119434         0         0     11699     11568         0         0         0     55938         0         0     45222         0         0     35296    200843     38648         0         0         0         0     77455     25679    120769      4156         0    116767     52322    136099    101478         0     91452     68411     79955         0         0    124256         0     37763    105683    107752         0         0         0 
        0         0     37715         0     85918     26087    144628     19624         0         0         0         0     59267    246965     30896         0     30905     43030         0     49668      8677    122838         0     43404     61608    152854         0     55735         0    101148         0         0     23673         0         0         0         0         0         0      6327     57216     13178         0     66195    142729     33790     40477     27460     58271     45437         0     33282      7143    138578     16827     58768     58383         0         0      8304     96295 
    53400    110581    117316         0         0    103224         0    139580     45458         0         0         0         0      5282      8639     73394     10502         0         0         0      6780         0         0     25778     13498         0         0         0    182728     75409         0         0         0     89437       805     20735         0         0    288194         0     45072         0         0     70366      5849     35191         0         0    127081     48583     55033     88603    171205         0     27771         0     37558     61506         0     48596         0 
        0     23157     47665         0     24355         0     29314         0         0     17922         0         0         0     55485         0    118968     89037         0         0         0         0         0         0         0         0         0         0         0         0         0     37398         0     66750         0         0     78004         0     94501         0     47629    240711     97622      1205         0     65729         0     11579     16519         0         0         0     21928         0         0         0    153824         0         0         0         0         0 
    21583         0    168821         0    205692         0         0         0         0         0     82548         0         0     63086         0    150371         0         0         0         0     30586         0         0     39339         0         0     64081         0     23463    150472         0         0     55765    177488    106798         0     22218         0         0     49303     60641     38639     94971         0     89941     58768         0         0         0     30825         0    125251         0         0         0         0         0         0    159517    179542     10855 
    65528         0         0    133008     22198     10237         0         0     13212     41213     40138     25054     88992     72768    174524         0         0     25369         0     87902     14327    118014    117158     94432         0         0      9705      3774     84133         0         0         0     10345     31787         0         0         0         0         0         0         0     52749     13633     45581         0         0         0       184     90938     18264         0         0     51021         0     69123         0     18647     92624    113985         0     73273 
    41204     68031         0         0         0    118886     94547         0         0         0         0         0         0         0     45661         0     55902     46131         0         0         0      4853         0     13042         0    121120         0     21648         0     52942         0     23176     75258         0     36475     87143         0         0     74294     22345         0         0     21969    125987         0         0         0     82123     61896         0         0         0         0      1950         0         0         0      1392         0     28364         0 
        0         0     14753     35402         0         0     68238         0     28902         0     14189     48853     17883     29296         0         0    104708    164964         0         0       954    123582      6991         0     69578         0     85096     39305         0     37438     44254    110093         0         0         0    115667    154090    145589     95525     88789     61579    133161         0     19255         0         0     12948         0         0         0         0     25565     52227         0         0         0     17705         0         0         0         0 
        0         0         0      5397         0         0         0     39344    183963         0         0         0         0         0     13838     31887     38186     72280         0         0     42640     28198     27738         0         0     34945     19486    289224     58042      4897     22124     22787         0         0     65289     54902      9119         0     25888         0     58401    183897         0         0      7758         0         0         0     58292         0         0     95099     48854     15424         0         0         0     66669     54215     36804     87619 
        0    128040         0      5882         0         0         0         0     42225         0     61191         0    111116    128412     75932         0         0         0     13350      5802     44824         0         0         0     84453     28017      9665         0    122169    108337     21803     76817         0       379         0    158134     51459      4793         0      4761     35640     22705         0     32524         0     24835    144013         0     33061    155616     17229         0         0         0     87462         0         0         0     28079      5194         0 
        0         0    121768         0     79832      1186    123654    105490    103348         0         0         0    110329         0         0     14836     96732    101538         0     15866     46827         0         0         0     18807         0         0    147213         0         0         0     36676         0         0     86113     35125         0         0     92133     61974     62840     70162     40074         0     41711     20807     85860         0         0         0     39267         0         0    202839     56917     27947      8986         0         0         0     60348 
        0         0     34164         0         0    129420      9347         0         0         0         0         0         0         0     17162         0         0         0         0         0         0         0         0    140152      5579         0         0         0         0     46962      7878     26453     49955     31633     46446         0         0         0     25885     17517         0         0     10287         0    126310         0         0       994         0     88279         0    112991    113937      3437     97748     96883     86619         0    113896     52508     11539 
        0         0     33567         0         0         0         0      1239         0         0         0         0         0         0         0     18845     45068         0         0     74528     61249    153652         0     22321      3379     75614     26652     96988         0     21358     37940     31982     86028    171431    104421    118146         0     73624         0         0         0     59825     59299     11191     89163         0     20549     67466         0     45220    131627    160439     49536         0         0         0         0    128408     19438    113988     32839 
   120850     46577         0     43031     63882         0     27140         0         0     63433      5217         0         0         0         0         0         0     19571     65994     73811     33631         0         0     73854         0     66863     99424     42660     89817         0     97755         0         0     36132         0         0    154125    173335     78088         0    114552    175873     57175         0    111371     29240     53047         0    133689     84777         0         0     32309     74585         0         0         0         0      6970         0         0 
        0     11689         0     56716     32360         0         0         0     16183     32416      7788     12296     15520    137738    157444         0         0     39135    114232    126876         0         0         0         0         0         0         0         0         0         0         0         0    166899     59240    139277         0     89705     93609     55417         0         0         0         0     95884         0         0     38343    126557         0         0         0     39117         0         0      1754         0         0         0         0         0     35808 
     4787         0         0      3070         0         0         0         0         0         0         0         0         0    115916     17754         0         0         0         0     11051         0         0     87505         0     46313         0     83078         0     48044         0         0         0     52202    274271     31676    124748    121693    182961    182878         0    167255         0         0         0         0      5713    186689         0     46631         0         0         0         0         0         0         0     40000     47533     72723     82496         0 
   157501     29898    117545    102242         0     71083         0     76204      3542     56232         0     13458    120481         0         0     83071         0         0     56941         0     47385         0     20684     46586     79466     96031         0     50600     65296         0     18883         0         0         0         0     48964         0         0         0     66677     72694         0     24876         0     41299     80852         0         0         0         0     30117     96543         0     22310         0         0         0     33627     77976         0     14871 
        0     50731         0         0     71006      6008    160627         0         0         0         0         0      2397         0         0    109292    111611     31130         0     50098     32308    111269     20316    153380     77372     46141     75292     58604     40518     86208    115521     68982         0         0     80664     52072         0         0         0      8457     63265     10470     25629         0    110133     97180         0     99109     46315     42672         0     62495    194488    124042    100489         0    136620         0         0     55698         0 
     4686         0         0     92834         0         0         0         0         0         0     30212    169530         0         0         0         0     95968     94895     89561         0     32205      2405         0    132156    193891     84774     94505     31005         0         0    149172    114527      3677      8901         0         0     74834         0         0     54121         0     53329     81225         0      4517         0     19435     28591         0     73675         0     18150         0     10352         0         0         0         0         0         0         0 
    40821         0      8131    174939    102342     38008     41221     79779     59215     92490     29574     84259     25899     56480      2311         0    155590     18511    174533         0         0         0         0     92459    157458     91583    149666     10872         0     79889    102789    172435    124990     10813     17897     76718     13989    187833     17964         0         0         0     57138         0         0    132148     36422    163647         0         0     93902         0         0         0      3324         0     72342         0         0     57568         0 
    66396         0     97893     94767         0         0         0         0         0         0         0     91756     68580     41462     23028     33589     64096         0     69656         0     99493      4591         0         0     38644     48885    101805    210957     78475         0     46719     30478     20604      5157         0     57832     82610    219637     27711         0    189849      9714         0     68514         0     63145         0         0      2421      7916    135189     70733     30736    276728     51402     16395         0         0     84325     80715     21962 
        0    111300         0         0       967     11979     56402         0         0     85375     66260     33538      5285     50834     20308         0     92392         0     59016    160608    223611     45760         0         0         0     63002       812         0         0         0         0         0     20693         0     70090     43723    109267         0    110009    151944     57204     50962     17153         0     19925     61151     53783     66212         0         0     79523     23549    112918         0    121988     49889         0         0         0     47511         0 
   134065     98320     49263         0     16988     62649         0    108155     80532         0     26302    117343      9244         0         0         0     47797         0         0         0         0     85998     32666         0     42825    142682     15979         0     54503      8130         0         0         0    100548         0         0         0     71646         0         0     11354     22442    146438      9880     55687     48262     16297     15514     35461     20829    203689     40307     58594     28732     58844      1484         0    114226         0         0         0 
     8270     85065    121618         0         0         0    121737         0     69706         0     89110         0         0         0     97035         0         0      4317         0         0         0     49476         0         0     27636     46189         0     85733    115536    101448     40933         0         0         0         0         0     12837         0         0         0         0         0         0    157054         0         0         0     49524         0    234975    105905     56474    128586         0    107528     56841      4866     66472     40351         0     41209 
        0         0         0     69518      9055         0         0     10284         0     80658         0         0         0     52531    110409         0         0     47845         0         0     19368         0     39310         0         0     52791         0         0     18592     10799         0         0         0     51123         0         0         0         0    126863    124351         0         0     50534    121590     31970    102690         0         0         0         0     16920         0         0     44234    103479         0         0         0    158105     36116     46299 
