3392,20794,0,43921,0,51834,0,0,0,17146,0,33876,49426,0,30889,0,0,0,0,47417,0,0,0,0,92172,0,0,0,17410,0,0,18724,8369,69136,21755,11609,32827,19980,0,11278,25579,0,0,0,0,2197,49728,0,0,0,30433,0,17750,0,0,0,0,51479,13991,0,0,0,
0,0,0,63070,47070,0,4515,55851,0,13103,0,36582,0,41208,0,0,38494,20736,0,0,61781,0,10125,0,655,0,60394,35787,0,0,18584,3269,59731,17650,75837,24091,37038,0,20979,0,0,55393,0,16280,0,0,0,20048,47760,0,0,13202,0,0,19649,65634,71033,0,48980,0,143264,30566,
0,0,10242,0,40347,0,0,0,65128,0,0,29444,36395,0,44849,0,29471,26914,44676,47188,60320,40141,15941,28007,0,0,0,40797,0,14160,0,39328,54661,0,0,0,0,0,0,6134,1193,0,30627,0,0,9568,10699,0,21968,32951,10840,0,39134,0,0,48777,78366,16456,0,77198,0,24263,
44313,0,23946,0,0,56740,8182,39040,47548,5421,19897,0,70069,44104,18223,0,0,71028,35800,0,0,10226,11525,16038,53394,67998,34190,45602,9289,18041,44532,0,26165,17789,20308,0,0,0,11286,10945,4413,0,0,0,36818,0,90849,39316,24893,19798,0,0,0,28377,0,82767,0,0,0,0,0,0,
0,43818,28497,0,0,0,0,0,33353,63871,109441,46703,0,44445,38264,54474,0,0,49256,5019,0,19540,60137,17158,0,0,14234,0,9604,9388,2180,0,0,0,0,0,0,2480,86897,34905,0,12641,103133,109496,48432,38088,17103,0,80530,66212,56954,18975,15243,0,0,14790,0,52700,0,0,44629,27947,
26656,0,56548,0,26927,0,0,47994,0,0,0,0,0,76441,1508,31514,0,5783,61050,0,0,0,0,0,0,0,0,104384,0,0,18153,84771,11832,0,0,0,0,0,15161,11083,86726,74334,0,86573,23200,30730,70486,23652,4344,0,0,50050,0,11218,10747,2269,17291,30372,0,2877,0,1432,
16000,0,0,73518,0,28282,24253,0,10347,4598,0,45264,0,34817,0,0,0,16382,0,0,42975,14461,0,31452,0,12040,27267,0,0,8412,0,14652,101401,0,0,0,0,32760,29940,13578,23523,0,0,44528,0,8806,38405,0,25584,0,0,15858,44483,22743,0,53733,68472,21330,0,82958,43357,0,
3081,0,0,0,25935,41240,0,0,25658,0,0,28865,42782,0,0,66062,0,0,0,0,0,0,28737,22737,0,0,44607,32404,0,0,84571,0,0,53519,39693,25936,0,21849,0,0,12306,9584,52730,22446,36536,0,0,0,0,10479,92772,0,39592,0,3071,41954,8796,108084,36500,0,50250,0,
0,0,19824,1703,8967,0,95835,0,40181,57163,61702,0,0,21573,0,17664,2858,6170,0,0,11680,0,0,0,25986,49732,0,0,0,0,22600,0,59279,0,0,2474,0,39635,48620,0,45912,32920,25166,0,0,0,46470,1116,0,7168,14164,0,30255,10827,22642,8583,37770,0,40533,0,11747,70262,
0,0,0,18312,0,11133,13864,17989,0,0,0,41247,15973,37724,6063,100743,11214,57387,0,0,18101,1833,26929,520,0,13893,0,17827,50033,17457,0,13689,0,19924,0,0,6298,0,0,78437,40264,0,0,70948,23823,0,0,34398,15522,30410,0,2986,13707,0,0,0,7125,0,2646,3039,12743,52582,
34778,33453,0,6699,5262,35451,0,0,0,0,0,0,0,61131,86826,0,9704,0,63141,40827,49669,0,46053,50646,70430,79890,0,0,50926,71966,17236,0,0,98940,38030,0,6212,27330,97617,0,0,8654,19009,13898,55282,23030,0,0,36581,0,13477,0,0,0,0,0,102744,17216,0,0,112275,0,
23701,0,418,0,46384,0,0,0,12504,4215,15763,0,0,0,24711,0,13022,0,0,0,0,56159,0,12985,0,0,11934,23810,14215,0,21053,21765,0,44758,0,11048,15173,0,0,58949,32806,0,0,0,12503,0,40288,31970,0,0,41740,18129,34908,54895,0,0,0,69625,0,34997,48039,75218,
0,0,25144,26846,74654,0,6713,19034,0,0,0,0,13810,0,0,58256,0,12030,12024,31239,2663,6315,22138,0,49353,0,34600,0,0,0,99799,0,0,0,7540,164651,58353,12763,0,0,4419,41327,2524,0,0,0,37363,0,540,51598,16100,85978,61804,0,41803,0,0,0,0,0,0,41494,
35309,65002,23388,0,47210,41976,0,0,30865,0,0,0,30307,42907,0,26067,45957,0,2086,0,1011,25444,106291,0,9817,0,8814,0,35666,25990,0,0,7817,24041,16731,53219,51509,0,47675,0,50152,0,3779,0,34674,0,0,18323,12122,0,0,3723,13958,0,27285,0,4836,6167,0,45984,51229,0,
0,17348,77308,0,0,0,0,53839,0,7919,54715,28286,0,0,0,0,49427,0,0,32435,0,0,25950,37058,34973,0,38450,30828,0,0,0,42826,55470,0,0,0,54804,14232,93699,45737,5118,0,0,55569,8871,42477,0,36364,0,0,0,5270,12483,0,27616,0,70649,84724,0,6520,0,0,
0,32552,0,0,60362,0,19598,60995,14762,0,0,91884,98434,46814,0,0,64204,30798,63405,10617,0,0,14478,0,0,51334,56177,70456,0,0,0,64142,36351,29885,0,0,0,0,8290,49961,50134,0,0,0,0,0,5853,0,52114,0,0,35523,0,0,3380,45489,16439,0,0,62285,0,66268,
